der, die, das;the
Zauberstab n;wand, magic wand n
Tennisplatz n;tennis court n
kontaktfreudig sein, gesellig sein adj;mix easily adj
Fritten, Pommes n;fries n
Pflichtgefühl n;sense of duty n
Gefieder, Federkleid n;plumage n
Scholle (Zoologie), Plattfisch n;plaice n
Budgetierung, Kalkulation n;budgeting n
Lagerung, Aufbewahrung, Speicherung n;storage n
Leutnant (Militär) n;second lieutenant (AmE) n
Kernfusion n;nuclear fusion n
verdaulich adj;digestible adj
Handgranate n;hand grenade n
ungeschickt adj;fumbling adj
auswandern, emigrieren v;emigrate v
Sonnenstrahl n;sunbeam n
sich räuspern v;to clear one's throat v
unruhig, ruhelos, rastlos adj;restless adj
selbstmörderisch, selbstmordgefährdet adj;suicidal adj
regulieren, normalisieren, standardisieren v;regularise (BrE), regularize (AmE) v
ungehärtete Margarine n;soft margarine n
Sommerkurs, Ferienkurs n;summer school n
Kommunikationsmittel n;means of communication n
Ackerland n;farmland n
Page, Edelknabe n;pageboy (BrE), page (BrE), bellboy (AmE) n
Tundra n;tundra n
Farn n;fern n
Notenständer n;music stand n
heller werden, (sich) aufhellen adj;lighten adj
Sattler(in) n;saddler n
Nährstoff n;nutrient n
Schweinerei, Stachelschwein, Schwindelei (ugs) n;porky n
Totenstille n;dead silence n
Eure Majestät;Your Majesty
Weinstock, Weinrebe n;grapevine n
mittlerer Preislage adj;medium-priced adj
Heftpflaster n;sticking plaster n
ungeschriebenes englisches Gewohnheitsrecht n;common law (BrE) n
Marschflugkörper, Cruisemissile n;cruise missile n
Zwiebelsuppe n;onion soup n
Fassungsvermögen (räumlich), Hubraum (Verbrennungsmotor) n;cubic capacity n
einträglich adj;gainful adj
Milchbar n;milk bar n
Motoröl n;engine oil n
ungeschickt adv;fumblingly adv
vergolden v;plate sth with gold v
mürrisch, verdrießlich, griesgrämig adj;morose adj
Sperrgebiet n;restricted area n
Verschwendung, Vergeudung, Übermäßigkeit, Ausschweifung n;dissipation n
schwirren, sausen v;whiz v
Diode n;diode n
Polizistin n;policewoman n
Wasserflugzeug n;seaplane, hydroplane (AmE) n
Zeitunterschied n;time difference n
Adapter, Mehrfachsteckdose n;adaptor, adapter n
mit Heckmotor, heckmotorig adj;rear-engined adj
einrammen v;ram in v
Blutgruppe n;blood group n
Überdruck n;overpressure n
Bernstein, Bernsteingelb n;amber n
etw eincremen v;put cream on v
Popo (ugs) n;botty n
Speichel n;saliva n
Lesebuch n;reading book n
mit Streuseln überbackenes Kompott (BrE) n;crumble (BrE) n
idiotensicher, narrensicher adj;foolproof adj
asthmatisch adv;asthmatically adv
lobenswert, löblich adj;laudable adj
Stacheldraht n;barbed wire n
sich mit Computern auskennen v;be computerate v
Steuermann, Steuerfrau n;helmsman n
Gewitterwolke n;storm cloud n
Schmarotzer(in), Schnorrer(in) n;sponger n
unbeantwortet, uneingestanden, verkannt adj;unacknowledged adj
Brennpunkt n;focal point n
Schirmständer n;umbrella stand n
Prisma n;prism n
Brombeere n;blackberry n
Konsulat, Konsulats-... n;consulate n
Überschallgeschwindigkeit n;supersonic speed n
Schöffe sein, Geschworener sein n;do jury service n
Sonntagsschule n;Sunday school n
Stereoanlage n;music system n
von jdn entfremdet sein, mit jdn zerstritten sein v;be estranged from sb v
Rauschgifthandel n;drug trafficking, drug trade n
Quark (Nahrungsmittel), Quark (Atomphysik) n;quark n
Zuckerrohr n;sugar cane n
Hungersnot, Hungertod n;famine n
Heiratsurkunde n;marriage certificate n
gesellig, Herden-... adj;gregarious adj
asthmatisch adj;asthmatic adj
Rasierschaum (AmE) n;shave foam (AmE) n
Eintönigkeit, Monotonie n;monotony n
Schmutzfleck n;dirty mark n
australischer Ureinwohner, Aboriginie n;Aborigine n
Baumkrone, Wipfel n;treetop n
mildern (Strafe), lindern v;mitigate v
Queue, Billardstock n;billiard cue n
Bürgerrecht, bürgerliches Freiheitsrecht n;civil liberty n
innewohnend, immanent, innerer, immanent adj;intrinsic adj
Gehaltserhöhung n;salary increase n
ausbaufähig sein, Potenzial haben v;have potential v
halbmonatlich adj;half-monthly adj
zerreißen, aufreißen, herausreißen v;rip up v
Gleichheitszeichen n;equals sign n
etw eingraben v;bury sth (in sth) v
Vermächtnis, Hinterlassenschaft n;devise n
elektrischer Leitwert, Leitfähigkeit (Elektrizität) n;conductance n
Knitter, Runzel, Falte, Kniff (Stoff) n;wrinkle n
Kartoffelpuffer n;hash browns n
Schlaflied, Wiegenlied n;lullaby n
Rollkragenpullover n;rollneck sweater n
Vorarbeiter, Vormann n;gang boss n
Wellenlänge n;wavelength n
Frontalzusammenstoß n;head-on collision n
Stehleiter n;stepladder n
Süßwasser, Süßwasser-... n;freshwater n
gepfeffert, hitzig, hitzköpfig adj;peppery adj
Marmor, Marmorplastik n;marble n
Ziegelei (für Mauerziegel) n;brickworks n
Briefpapier mit Briefkopf n;headed notepaper n
Bankleitzahl n;bank code number, bank sort code n
Gelegenheitsarbeiter n;jobbing worker n
Heckenschütze, Heckenschützin n;sniper n
Nachhut n;rearguard, rear guard n
Landzunge n;spit of land n
stottern v;stutter v
Düse, Kanüle, Zapfhahn n;nozzle n
Säugetier, Säuger n;mammal n
Durchreisende(r), Transiente n;transient n
Heizkörper, Kühler (Motor) n;radiator n
gefleckt, getüpfelt, getupft, fleckig adj;spotted adj
Leselampe n;reading lamp n
Höchststand n;peak level n
abraten von etw v;advise sb against sth, warn sb against sth v
pneumatisch adj;pneumatic adj
fasten v;fast v
in der Dämmerung;at twilight
Halbmond n;half-moon n
Rückenmark n;spinal cord n
Wasserski n;waterski n
Verkehrspolizist ohne polizeiliche Befugnisse (BrE) n;traffic warden (BrE) n
Archipel, Inselgruppe n;archipelago n
Stadtplanung, Städteplanung n;town planning, urban planning n
etw aufrollen, etwas aufwickeln v;roll up sth, coil up sth v
dreihundert adj;three hundred adj
Sofortbildkamera n;instant camera n
Psychotherapie n;psychotherapy n
Bibliothekar n;librarian n
Wechseljahre, Menopause n;menopause n
Grundstücksmakler, Immobilienmakler n;estate agent n
Komplikation, Kompliziertheit n;complication n
Känguru n;kangaroo n
Bruchlandung n;crash landing, pancake landing n
Intensivstation n;intensive care unit, ICU n
Außenhandel n;foreign trade n
Frömmigkeit, Religiosität, Gewissenhaftigkeit n;religiousness n
Taschendieb(in) n;pickpocket n
Flügelspannweite, Spannweite n;wingspan n
jungenhaft, knabenhaft adj;boyish adj
Spotter, Aufklärer n;spotter n
Teebeutel n;tea bag n
abstrakter Begriff, Abstraktum n;abstract noun n
niederknien, sich niederknien v;go down on on's knees v
biblisch, Bibel-... adj;biblical adj
Universitätsklinik n;university hospital n
Föderalismus n;federalism n
Staatsbesuch n;state visit n
lynchen v;lynch v
eingebildet (abwertend) adj;conceited adj
Mittagspause n;lunch break n
Zeitzeichen n;time signal n
Pfefferminze n;peppermint n
Lärche (Baum), Lärchenholz n;larch n
einsichtsvoll adj;insightful adj
Büroklammer n;paperclip n
Nachsicht, Milde n;leniency n
scharfsinnig adj;sharp-witted adj
aufwickeln, aufrollen, aufspulen v;coil v
missverstehen v;misunderstand (misunderstood - misunderstood) v
jungenhaft adv;boyishly adv
Bukett, Blumenstrauß n;bouquet n
säuerlich adj;vinegary adj
Vogelperspektive n;bird's-eye-view n
Nebenrolle n;peripheral role n
Überarbeitung, Arbeitsüberlastung n;overwork n
Lebhaftigkeit, Animation n;animation n
Schwarzarbeit, Schwarzhandel n;moonlighting n
Bremslicht n;brake light (BrE), stoplight (AmE) n
Mückenstich n;mosquito bite, gnat bite n
unwiderstehlich adj;irresistible adj
Trichter, Schornstein (Schiff, Lokomotive) n;funnel n
Regentropfen n;raindrop n
kinderfreundlich adj;child-friendly adj
Insulaner(in), Inselbewohner(in) n;islander n
verwandelbar, konvertibel, konvertierbar adj;convertible adj
Mittagsstunde, Mittagspause n;lunch hour n
Meisterstück n;masterpiece, masterwork n
symmetrisch adj;symmetric, symmetrical adj
Sonnenbad n;sun bathe n
Sitzstreik n;sit-down strike n
Igel n;hedgehog n
Berufskrankheit n;industrial disease n
Raute (Mathematik) n;rhombus n
Triumphbogen n;triumphal arch n
Schluchzer, Schluchzen n;sob n
Bandscheibe n;intervertebral disc n
kneifen (aus Feigheit) v;chicken out v
Abkürzung, Kurz-Befehl n;short cut n
Petzer (ugs), Petze (ugs), Kontrolllicht, Kontrolllampe n;telltale n
Niere n;kidney n
Kurzsichtigkeit (der Augen) n;short-sightedness n
Blütezeit, Primzahl n;prime n
freiberuflich, freiberuflich tätig adj;freelance adj
Hungerlohn, Hungerlöhne n;starvation wages n
gefräßig, verfressen adj;gluttonous adj
Küchengeräte n;kitchenware n
stottern, stammeln v;stammer, speak with a stammer v
Wohnmobil n;camper, camper van, recreational vehicle, RV, motor home n
jdn/etw zügeln v;rein in sb/sth v
über etw hocherfreut sein v;be elated at sth v
Liederbuch n;songbook n
Sardine n;sardine n
etw zerlegen (Kochkunst) v;cut (up) something v
Feindseligkeit, Animosität n;animosity n
Windschutzscheibe n;windscreen (BrE), windshield (AmE) n
Freilichtbühne, Freilichttheater n;open-air theatre (BrE), open-air theater (AmE) n
verkäuflich, veräußerlich, verhandelbar, befahrbar, passierbar, überwindbar adj;negotiable adj
sich mit etw eindecken v;buy in sth v
Referendar(in) n;student teacher n
Vorstandssitzung n;board meeting n
Busen, Brustteil n;bosom n
Fährte n;spoor n
Zügel n;rein n
astreich, knotig, knorrig adj;knotty adj
durchlesen v;read through, read over v
auf Verabredung, mit Voranmeldung;by appointment
Stechkarte n;clock card n
Teleskop, Fernrohr n;telescope n
jdn hineinziehen, jdn hineinbringen v;to drag in sb v
Umlaufkapital, Betriebskapital n;floating capital, working capital n
Klapperschlange n;rattlesnake n
Autounfall n;car crash n
Totenkopf n;skull and crossbones n
Ziegelei (für Dachziegel) n;tilemaking works n
Hautkrankheit n;skin disease n
natürlicher Logarithmus n;natural logarithm n
Kosinus n;cosine, cos n
Viadukt n;viaduct n
Eierschale n;eggshell n
Wellblech n;corrugated iron n
zähflüssig, viskos adj;viscous adj
Kontrolllampe n;pilot lamp n
eingeben (in Computer) v;key in v
Proportionen, Ausmaße n;proportions n
Niete n;rivet n
Tankwagen (AmE) n;tank truck (AmE) n
Schreibarbeit n;paperwork n
Ladendieb, Ladendiebin n;shoplifter n
Radtour n;cycling tour n
über etw kichern v;giggle at sth v
allerhöchstens;at the very most
Abflussrohr n;waste pipe n
Telex, Fernschreiber, Fernschreiben n;telex n
Missionar n;missionary n
trivial, unwichtig, banal adj;trivial adj
Schaufel, Schippe, Baggerschaufel n;shovel n
Fallschirmspringer(in) n;parachutist n
verschlüsseln, chiffrieren v;cipher v
Regenrohr, Abflussrohr, Abwasserleitung n;drainpipe, down pipe n
Kondensation, Kondenswasser, Kondensat, Verdichtung n;condensation n
Kegel, Konus, Hörnchen (Backwaren), Zapfen (Botanik) n;cone n
Überrollbügel n;rollbar n
Unhöflichkeit, Unverschämtheit, Grobheit n;rudeness n
ungläubig adj;unbelieving adj
Sonderberichterstatter(in), Sonderkorrespondent(in) n;special correspondent n
zahlenmäßig adv;numerically adv
plump, rundlich, füllig, mollig adj;plump adj
Speisekammer (BrE), Speiseschrank (BrE) n;larder (BrE) n
Katastrophengebiet n;disaster area n
Bergung (von Bergungsgut) n;salvaging n
Empfängnisverhütung n;contraception n
Streifenwagen n;patrol car n
Faulheit, Morschheit, Korruptheit, Verdorbenheit n;rottenness n
verneigen (vor) v;bow (to) v
Kurzschluss n;short circuit n
Mutterliebe n;a mother's love n
Karateschlag, Karatehieb n;karate chop n
Oberlicht, Dachfenster n;skylight n
Rübe, Steckrübe n;turnip n
Klangfarbe n;tone colour, timbre n
Nachbestellung n;repeat order n
labberig, wässerig, saft- und kraftlos, lasch, wachsweich, wischiwaschi adj;wishy-washy adj
Aubergine n;aubergine, eggplant (AmE) n
Fensterplatz, Fenstersitz n;window seat n
Locher n;hole puncher, hole punch, punch n
Orgie n;orgy n
Leitmotiv, Leitgedanke n;leitmotiv, leitmotif n
ungläubig adv;unbelievingly adv
Drüse, Lymphdrüse, Lymphknoten n;gland n
Straßenkehrer (AmE), Straßenfeger (AmE) n;street cleaner (AmE) n
Integral (Mathematik) n;integral n
Motorrennen, Motorrennsport, Pferderennen, Pferderennsport n;racing n
ritterlich adj;knightly adj
etw zurückschieben v;push back sth v
Kernreaktor, Atomreaktor n;nuclear reactor n
Verstopfung hervorrufen bei, verstopfen adj;constipated adj
Abwanderung der Landbevölkerung, Landflucht n;rural depopulation n
Nilpferd n;hippo, hippopotamus n
Jogging, Joggen n;jogging n
aufziehen, foppen v;rag v
austrocknen v;dehydrate v
Schneefall n;snowfall n
Staatsgeheimnis n;state secret n
Freikörperkultur, Nudismus n;nudism n
Konservierungsmittel n;preservative chemical n
Streifenwagen (AmE) n;squad car (AmE) n
Eichhörnchen n;squirrel n
Wechselstrom n;alternating current (AC) n
winseln, wimmern v;whimper v
angelernt adj;semi-skilled adj
Hintertür, Hintertürchen n;back door n
Zopf, Flechtwerk n;plait n
kaltblütig (Biologie) adj;cold-blooded adj
Kapitalanlage n;capital investment n
Pluspol n;positive pole n
Jaguar n;jaguar n
Laute (Musikinstrument) n;lute n
Mitgliedskarte, Mitgliedsausweis n;membership card n
Prozessor, Weiterverarbeitungsbetrieb, Verarbeitungsbetrieb, Verarbeiter n;processor n
Wildpark n;game park n
Unterbrechung der Berufstätigkeit n;career break n
Schweinebraten n;pork roast n
Haarspalterei n;hairsplitting n
flockig, bröckelig, schuppig adj;flaky adj
Sparbuch n;bankbook n
Boje n;buoy n
Kiwi, Neuseeländer n;kiwi n
Vorhand, Vorhandseite n;forehand n
Pferderennsport, Pferderennen n;horse racing n
gälisch adj;Gaelic adj
Sterblichkeit, Vergänglichkeit n;mortality n
Platin n;platinum n
Notar(in) n;notary, notary public n
ungläubig (nicht religiös gemeint) adj;in disbelief adj
wasserdichtes Alibi, hieb- und stichfestes Alibi n;airtight alibi n
Knäuel, Pfropfen, Bausch, Bündel, Stoß n;wad n
versteinern v;petrify v
durchnässt, triefnass, durchweicht adj;sodden adj
Vorschuss v;cash advance v
Kreisverkehr n;roundabout (BrE), traffic circle (AmE), rotary (AmE) n
Eigenname n;proper name, proper noun n
Haushaltsdefizit n;budget deficit n
verstimmen v;put something out of tune v
Filet n;fillet n
Computerkriminalität n;computer crime n
Fallschirmspringer(in), Skydiver n;skydiver n
Bergung, Bergungsgut, Bergelohn n;salvage n
Skihose n;ski pants n
Specht n;woodpecker n
bei Vollmond;when the moon is full
skrupellos, charakterlos, unanständig adj;unprincipled adj
überschatten v;overshadow v
Araber(in), Araberpferd n;Arab n
einlösen (Scheck) v;cash v
ungläubig (i. S. v. nicht glauben wollen/können) adj;disbelieving adj
Vogelnest n;bird's nest n
Pferderennen n;horse race n
Spitzenprodukt n;leading product n
niederknien, hinknien, niedersinken v;kneel down v
Statue, Standbild n;statue n
Auffahrunfall, Massenkarambolage n;pile-up n
Selbstbeherrschung n;self-possession n
Offensichtlichkeit, Deutlichkeit n;obviousness n
zyklisch, periodisch adj;cyclic adj
Bogenlampe n;arc lamp n
Tafelwein, Tischwein n;table wine n
Eidechse, Echse n;lizard n
Rettungsdienst, Ambulanzdienst n;ambulance service n
Elektromagnetismus n;electromagnetism n
fleischig, fleischbepackt adj;beefy adj
Fremdenverkehrsbüro n;tourist office n
Innereien, Eingeweide n;innards, insides n
manuell, händisch, Hand-... adj;manual adj
Spinnwebe, Spinnengewebe, Spinnennetz n;spider's web n
Grabstein n;gravestone, tombstone n
Bootssteg n;landing stage n
Bordcomputer n;on-board computer n
kaltblütig adv;cold-bloodedly adv
künstliche Beatmung n;artificial respiration n
Philantrop, Menschenfreund n;philanthropist n
Fresko, Freskomalerei n;fresco n
Verstopfung hervorrufen bei, verstopfen v;constipate v
Hamster n;hamster n
Wassertropfen, Schweißtropfen n;drops of moisture n
Vollmond n;full moon n
etw verstimmen v;to put sth out of tune v
Lösungsmittel (Chemie) n;solvent agent, solvent n
Fragesteller, Fragende(r) n;questioner n
unbeweglich, unüberwindlich adj;immovable adj
Lösungsmittel n;dissolvent n
steuerfrei adj;tax-free adj
Rennpferd n;racehorse n
Vorarbeiter, Polier n;foreman n
Brückenbau, Brückenbauen n;bridge-building n
Schrittmacher, Herzschrittmacher n;pacemaker n
Rollkragen, Rollkragenpullover, Rollkragen-... n;polo neck n
Angeber n;show-off, poser n
bohren, anbohren, drillen, exerzieren v;drill v
anwendbar (auf), zutreffend (für) adj;applicable (to) adj
Klavierspieler(in) n;piano player n
Fanatiker(in), Glaubenseiferer, Zelot n;zealot n
Fechten n;fencing n
Halbpension n;half board n
Entfremdung n;estrangement n
Eingeweide, Innereien n;entrails n
selbstzufrieden, selbstgefällig adj;self-satisfied adj
Kabeljau n;cod n
Grafikkarte n;graphics card n
Traubensaft n;grape juice n
Vergeltung, Vergeltungsschlag, Konterschlag n;retaliation n
Ganzzahl, ganze Zahl n;integer, integer value n
leichtgläubig adj;credulous adj
Ulme n;elm n
Rebe, Weinrebe, Rankengewächs n;vine n
hellblau adj;light blue adj
Marktwert n;market value n
Anlegen, Anlegeplatz n;mooring n
unersetzbar, unersetzlich, nicht wiederherstellbar, unrettbar, unwiederbringlich adj;irrecoverable adj
